Model,Test_Accuracy,Test_F1
Decision Tree,0.561938061938062,0.5949130859968329
Random Forest,0.7517482517482518,0.7379756956905368
Naive Bayes,0.5849150849150849,0.6200868425354984
Neural Network,0.6808191808191808,0.7005720035768424
